Original,translation
"A strange octagonal amulet, richly filegreed and with the navigational roset of the Nautical Guild carved on it","Um estranho amuleto octogonal, ricamente trabalhado e com a rosa dos ventos da Guilda Nautica esculpida nele"
"This is apparently an item that the guild will pay handsomely to have returned to them","Este e aparentemente um item pelo qual a guilda pagara muito bem para ter de volta"
Ledger,Livro de Registro
A ledger containing incriminating information,Um livro de registro contendo informacoes incriminatorias
The Whispering Tablets,As Tabuas Sussurrantes
"A pair of weathered stone tablets covered in indecipherable writing and grotesque symbols","Um par de tabuas de pedra desgastadas cobertas por escrita indecifravel e simbolos grotescos"
"The tablet’s condition seems to indicate that it has rested under the sea for a long time","A condicao das tabuas parece indicar que descansaram sob o mar por muito tempo"
Did you just hear a whisper?,Voce acabou de ouvir um sussurro?
Rotted Horse Flesh,Carne de Cavalo Podre
A large quantity of rotted horse flesh,Uma grande quantidade de carne de cavalo podre
"Utterly inedible to humans but perhaps a treat for some other beastie?","Totalmente incomestivel para humanos mas talvez um petisco para alguma outra criatura?"
A Strange Idol,Um Idolo Estranho
"A grotesque looking black Idol found in the 'Santa Fury' treasure hoard","Um idolo negro de aparencia grotesca encontrado no tesouro do Furia Santa"
Sewerjack's Badge,Insignia do Patrulheiro dos Esgotos
"A small brass badge belonging to a member of the glorious Imperial Sewer-patrol","Uma pequena insignia de latao pertencente a um membro da gloriosa Patrulha Imperial dos Esgotos"
It's covered in filth,Esta coberta de sujeira
Silver Flute,Flauta de Prata
"A small silver flute that can be used to drain the mercury-pool in the Tower of Ash","Uma pequena flauta de prata que pode ser usada para esvaziar a piscina de mercurio na Torre de Cinzas"
Telescope,Telescopio
A collapsed field-telescope used for stargazing,Um telescopio de campanha retratil usado para observar as estrelas
Lotus Petals,Petalas de Loto
"One of the ingredients needed to craft the ‘Salts of Elthanyr’","Um dos ingredientes necessarios para fabricar os Sais de Elthanyr"
Salamander's Horn,Chifre de Salamandra
Sylversalt,Pratasil
Salts of Elthanyr,Sais de Elthanyr
A special salt that can apparently be used to unsummon conjured creatures,Um sal especial que aparentemente pode ser usado para banir criaturas conjuradas
Bring it to Calipero the Magos underneath the Tower of Ash,Leve-o para Calipero o Mago abaixo da Torre de Cinzas
#Ranged Weapons,#Armas a Distancia
Ranged,A Distancia
Light Bow,Arco Leve
Composite Longbow,Arco Longo Composto
Fine Composite Bow,Arco Composto Refinado
Masterwork Composite Bow,Arco Composto Obra-Prima
Poor Composite Bow,Arco Composto Ruim
Longbow,Arco Longo
Fine Longbow,Arco Longo Refinado
Masterwork Longbow,Arco Longo Obra-Prima
Crude Longbow,Arco Longo Tosco
Shortbow,Arco Curto
Fine Shortbow,Arco Curto Refinado
Masterwork Shortbow,Arco Curto Obra-Prima
Crude Shortbow,Arco Curto Tosco
#Reagents,#Reagentes
Chitin,Quitina
"A thick piece of chitin taken from the exo-skeleton of an unnaturally large creature","Um pedaco grosso de quitina retirado do exoesqueleto de uma criatura anormalmente grande"
"As chitin dries it can be ground into powder, providing a potent alchemical ingredient","Conforme a quitina seca ela pode ser moida em po, fornecendo um poderoso ingrediente alquimico"
Cruel Fang,Colmigo Cruel
"A slimy, curved fang pulled from the mouth of some sort of overgrown monstrosity","Um colmillo viscoso e curvo arrancado da boca de algum tipo de monstruosidade gigante"
The end is still incredibly sharp,A ponta ainda continua incrivelmente afiada
Egg Cluster,Aglomerado de Ovos
Not to be mistaken for their smaller and more edible counterparts,Nao deve ser confundido com suas versoes menores e mais comestiveis
"Whilst these eggs make for a potent alchemical ingredient, ingesting them in any other way can have…unpleasant effects","Embora estes ovos sirvam como um poderoso ingrediente alquimico, ingeri-los de qualquer outra forma pode ter efeitos... desagradaveis"
Emerald King (insect,Rei Esmeralda (inseto
"Called “the King of insects” due to its shimmering emerald scales","Chamado de o Rei dos Insetos devido as suas escamas de esmeralda cintilantes"
"Its royal title, however, does not keep it safe from the alchemists and artificers who consider it a prized reagent","Seu titulo real, no entanto, nao o mantem a salvo de alquimistas e artifices que o consideram um reagente valioso"
Firewing (insect,Asa de Fogo (inseto
"Whilst this small insect is a popular alchemical ingredient, its fire-like sting makes it one of the Empire’s most hated pests","Embora este pequeno inseto seja um ingrediente alquimico popular, sua ferroada parecida com fogo o torna uma das pragas mais odiadas do Imperio"
Graveroot,Raiz de Tumulo
"Often found growing on graves, the roots of this weed are believed to feed on the flesh of the dead","Frequentemente encontrada crescendo em tumulos, acredita-se que as raizes desta erva daninha se alimentam da carne dos mortos"
"For this reason it is despised by grave-keepers and much sought after by those who dabble in the arcane","Por esta razao ela e desprezada pelos guardioes de tumulos e muito procurada por aqueles que se aventuram no arcano"
Gullyfern,Feto de Barranco
"This small fern is often found growing near streams or in the deeper parts of the forest","Este pequeno feto e frequentemente encontrado crescendo perto de riachos ou nas partes mais profundas da floresta"
"It emits a fresh, pleasant scent","Emite um aroma fresco e agradavel"
Hound Ear,Orelha de Cao-Cacador
"A large, leathery ear cut from the freshly dead head of some monstrous hound","Uma orelha grande e courosa cortada da cabeca recem-morta de algum cao monstruoso"
"A delicate flower that is said to grow on the sites of battles over the graves of dead soldiers","Uma flor delicada que dizem crescer nos locais de batalhas sobre os tumulos de soldados mortos"
Lizard's Eye,Olho de Lagarto
"They say beauty lies in the eye of the beholder, but the slick goo coating this lizard’s eye gives you some doubts","Dizem que a beleza esta nos olhos de quem ve, mas a gosma escorregadia que cobre o olho deste lagarto te deixa com algumas duvidas"
"Still, the rarity of reptilians throughout the Empire’s inner cities means it should fetch a decent price","Ainda assim, a raridade de reptilianos pelas cidades historicas do Imperio significa que deve alcancar um bom preco"
Mercury,Mercurio
"Believed to be at the core of all metals, this liquid element is a commodity amongst alchemists and is as fast working as it is toxic","Acreditado como o nucleo de todos os metais, este elemento liquido e uma mercadoria entre alquimistas e age tao rapido quanto e toxico"
Cavechild,Crianca das Cavernas
"A small pinkish mushroom that is sometimes found in caves","Um pequeno cogumelo rosado que as vezes e encontrado em cavernas"
"Though eating it will cause acute vomiting, it is a valuable alchemical agent when used properly","Embora come-lo cause vomito agudo, e um agente alquimico valioso quando usado corretamente"
Glowman,Homem-Brilhante
"The Glowman is so called for its faint bioluminescence","O Homem-Brilhante e chamado assim por sua fraca bioluminescencia"
"It grows naturally in damp cave-systems and it a commonly used alchemical ingredient","Cresce naturalmente em sistemas de cavernas umidas e e um ingrediente alquimico de uso comum"
Laughtercap,Cogumelo do Riso
"Easily recognizable with its red cap and white spots, the Laughtercap is not to be ingested as it is said to cause hysterical laughter and odd visions","Facilmente reconhecivel por seu chapeu vermelho e manchas brancas, o Cogumelo do Riso nao deve ser ingerido pois dizem que causa risadas histericas e visoes estranhas"
"Many an apprentice alchemist has ignored this warning through the ages","Muitos aprendizes de alquimista ignoraram este aviso ao longo dos seculos"
Protoplasma,Protoplasma
"Whilst this jelly-like substance may look harmless, its properties have been known to create potions just as acidic as the creature it comes from","Embora esta substancia gelatinosa possa parecer inofensiva, sabe-se que suas propriedades criam pocoes tao acidas quanto a criatura de onde provem"
"Do not, under any circumstances, ingest","Nao ingira, sob nenhuma circunstancia"
Rat Tail,Cauda de Rato
"Rats are so ubiquitously despised throughout the Empire that certain merchants will pay a bounty for their tails","Os ratos sao tao universalmente desprezados por todo o Imperio que certos mercadores pagam uma recompensa por suas caudas"
"As will certain alchemists","Assim como certos alquimistas"
"Rotcrawler (insect","Lagarta da Podridao (inseto"
"Whilst most citizens of the Empire would be disgusted by its presence, this larva-like insect can be useful to those who know what to do with it","Embora a maioria dos cidadaos do Imperio ficaria enojada com sua presenca, este inseto semelhante a uma larva pode ser util para aqueles que sabem o que fazer com ele"
Rotmold,Mofo da Podridao
"An aggressive mold known to eat almost any organic material it comes into contact with, this mold has cost more than a few citizens their cheese cellars","Um mofo agressivo conhecido por devorar quase qualquer material organico com o qual entra em contato, este mofo custou a mais de alguns cidadaos suas adegas de queijo"
"And pets","E animais de estimacao"
Scale,Escama
"This rare, luminescent scale was likely taken from some sort of giant lizard or sea creature","Esta escama rara e luminescente provavelmente foi tirada de algum tipo de lagarto gigante ou criatura marinha"
"Whilst it is primarily used as an alchemical ingredient, its beauty makes it a popular ingredient amongst artisans on the Outer Isles","Embora seja usada principalmente como um ingrediente alquimico, sua beleza a torna um ingrediente popular entre os artesao nas Ilhas Exteriores"
"Typically given as a gift to those in grief","Tipicamente dada como presente para aqueles em luto"
"It is said that if the plant is placed near your bed it will gorge on your despair, offering some slight respite","Diz-se que se a planta for colocada perto da sua cama ela se fartara do seu desespero, oferecendo um leve respiro"
Spider Silk,Seda de Aranha
"Though it may be light in weight, it is not light in use","Embora possa ser leve em peso, nao e leve no uso"
"This silky ingredient has been used in a variety of potion recipes for centuries and is popular amongst the Empire’s finest alchemists","Este ingrediente sedoso tem sido usado em uma variedade de receitas de pocoes por seculos e e popular entre os melhores alquimistas do Imperio"
"Unfortunately, the same cannot be said for the creature that spins it","Infelizmente, o mesmo nao pode ser dito da criatura que a tece"
"Named due to an old wives’ tale in which flowers began to grow at the site of a fallen star, this white plant is often given between lovers as a sign of affection","Nomeada devido a um conto da carochinha no qual flores comecaram a crescer no local de uma estrela cadente, esta planta branca e frequentemente dada entre amantes como sinal de afeto"
Sulfur,Enxofre
"Sometimes called the Heart of Life by alchemists across the Empire, this element is known to be extremely flammable yet alchemically potent","As vezes chamado de o Coracao da Vida por alquimistas em todo o Imperio, este elemento e conhecido por ser extremamente inflamavel, porem alquimicamente potente"
"Caution is advised","Recomenda-se cautela"
"Often found growing in areas of direct sunlight, these bright flowers are often used as decoration during the summer solstice","Frequentemente encontradas crescendo em areas de luz solar direta, essas flores brilhantes sao frequentemente usadas como decoracao durante o solsticio de verao"
Tusk,Presas
"A huge tusk pried from the jaws of a monstrous hog","Uma presa enorme arrancada das mandibulas de um javali monstruoso"
"For those who are brave or foolish enough to hunt such creatures, this useful alchemical ingredient makes a fine prize","Para aqueles que sao corajosos ou tolos o suficiente para cacar tais criaturas, este util ingrediente alquimico e um belo premio"
Venom Gland,Glandula de Veneno
"A rather foul smelling sack removed from some kind of venomous animal","Uma bolsa com um cheiro bastante desagradavel removida de algum tipo de animal venenoso"
"The liquid inside does not look much better than it smells","O liquido dentro nao parece muito melhor do que o cheiro"
"Do not ingest","Nao ingira"
Withered Hand,Mao Murcha
"Judging by the rotten scent emitting from this shriveled hand, it was likely cut from the wrist of a freshly risen ghoul","Julgando pelo cheiro podre que emana desta mao murcha, ela provavelmente foi cortada do pulso de um ghoul recem-erguido"
"Though desecration of the dead is taboo in Imperial society, the many uses for a ghoul’s flesh nonetheless causes it to fetch a hefty price on the black markets","Embora a profanacao dos mortos seja tabu na sociedade imperial, os muitos usos para a carne de um ghoul fazem com que ela alcance um preco alto nos mercados negros"
Fellbell,Sino-Sombrio
"Fellbells emit a soft, mesmerizing chime that seems to attract mushroom-pickers and animals alike","Os sinos-sombrios emitem um badalar suave e fascinante que parece atrair tanto coletores de cogumelos quanto animais"
"Unfortunately it is also highly poisonous","Infelizmente tambem e altamente venenoso"
#Shields,#Escudos
Buckler,Broquel
"A small rounded shield to be worn on the forearm","Um pequeno escudo arredondado para ser usado no antebraco"
Large Shield,Escudo Grande
"A large shield","Um escudo grande"
Plank Shield,Escudo de Tabeas
"An improvised shield made from wooden planks","Um escudo improvisado feito de tabuas de madeira"
Tower Shield,Escudo de Torre
Shield,Escudo
"A medium sized shield","Um escudo de tamanho medio"
Round Shield,Escudo Redondo
#Trinkets,#Baratjas
Bone Comb,Pente de Osso
"Finely carved from whale-bone, these combs provide a small modicum of luxury to the women and long-haired men of the Outer Isles","Finamente esculpidos em osso de baleia, esses pentes oferecem um pequeno toque de luxo para as mulheres e homens de cabelos compridos das Ilhas Exteriores"
Buttons,Botoes
"A small collection of mismatched buttons","Uma pequena colecao de botoes desparelhados"
Conch Shell,Concha de Caramujo
"You can hear the sea in them","Voce pode ouvir o mar neles"
Cracked Wine Jug,Jarra de Vinho Rachada
"A clay vessel commonly used to hold wine","Um recipiente de barro comumente usado para conter vinho"
It does its job poorly,Faz seu trabalho mal
Drinking Horn,Chifre para Beber
"A vessel used by locals from which wine or ale is drunk","Um recipiente usado pelos habitantes locais de onde se bebe vinho ou cerveja"
Embalming Tool,Ferramenta de Embalsamamento
"A tool used by followers of the Imperial faith to prepare the dead for burial","Uma ferramenta usada pelos seguidores da fe imperial para preparar os mortos para o sepultamento"
Fishing Hook,Anzol de Pesca
"A small metal hook used by locals to catch a variety of fish","Um pequeno anzol de metal usado pelos habitantes locais para capturar uma variedade de peixes"
Flute,Flauta
A small bone or wood instrument,Um pequeno instrumento de osso ou madeira
Fork,Garfo
A two pronged fork,Um garfo de duas pontas
"Though a good knife and fingers will suffice for most of the Empire's citizens, it simply will not do for a small select elite","Embora uma boa faca e os dedos sejam suficientes para a maioria dos cidadaos do Imperio, isso simplesmente nao servira para uma pequena elite selecionada"
Glass Bead,Contas de Vidro
"A spherical piece of glass sometimes used by islanders/locals to create jewelry or fool children","Uma peca esferica de vidro as vezes usada por ilheus ou nativos para criar joias ou enganar criancas"
Goblet,Copo
"A beaten up and ugly, albeit well crafted, tin goblet","Um copo de estanho maltratado e feio, embora bem trabalhado"
Ink Pot,Tinteiro
A glass vessel half full of rich Ombarian ink,Um recipiente de vidro meio cheio de rica tinta ombariana
Mug,Caneca
A roughly made mug,Uma caneca feita de forma grosseira
"Likely used for the Empire's drink of choice","Provavelmente usada para a bebida preferida do Imperio"
Ale,Cerveja
Old Shears,Tesouras Velhas
"A cutting tool commonly used by local farmers to shear their meager flocks","Uma ferramenta de corte comumente usada pelos fazendeiros locais para tosquiar seus escassos rebanhos"
"Ornate Gamepiece","Peca de Jogo Adornada"
"A piece from a set of pieces belonging to the game “Lancers","Uma peca de um conjunto de pecas pertencentes ao jogo Lancers"
Ornate Hand Mirror,Espelho de Mao Adornado
"Commonly used by members of nobility to check their appearance, these handheld items are believed by some to be ‘mirrors to the soul’","Comumente usados por membros da nobreza para verificar sua aparencia, esses itens de mao sao considerados por alguns como espelhos da alma"
Parchment,Pergaminho
A stack of writing paper,Uma pilha de papel para escrever
Pitcher,Jarra
A pitcher used for serving drinks,Uma jarra usada para servir bebidas
Plate,Prato
A tin plate used for serving meals,Um prato de estanho usado para servir refeicoes
Ream of Fine Cloth,Resma de Tecido Fino
"Finely spun cloth is difficult to produce and highly coveted among the tailors of the Heartlands","Tecido finamente fiado e dificil de produzir e altamente cobicado entre os alfaiates das Tierras Centrais"
Ream of Routhspun Cloth,Resma de Tecido Grosseiro
"Not as expensive as it's finer counterpart, but still a local commodity","Nao tao caro quanto sua contraparte mais fina, mas ainda assim uma mercadoria local"
Rusty Bread Knife,Faca de Pao Enferrujada
A common household item often found in dining areas,Um item domestico comum frequentemente encontrado em areas de jantar
Rusty Stick Pin,Alfinete Enferrujado
"A brass pin sometimes used by commonfolk to hold various garments in place","Um alfinete de latao as vezes usado pelo povo comum para prender varias roupas no lugar"
Scrimshaw,Entalhe em Marfim
A small carving made from walrus teeth,Um pequeno entalhe feito de dentes de morsa
Silk Ribbon,Fita de Seda
Commonly used for braiding hair,Comumente usada para trancar o cabelo
Stained Glass Bottle,Garrafa de Vidro Colorido
An empty glass bottle that has taken on a green tint,Uma garrafa de vidro vazia que adquiriu um tom verde
Decorative Shell,Concha Decorativa
"The exoskeleton of various sea creatures, these shells are sometimes used by locals to create jewelry","O exoesqueleto de varias criaturas marinhas, essas conchas as vezes sao usadas pelos habitantes locais para criar joias"
Wooden Doll,Boneca de Madeira
"A toy made from smooth yew, these doll’s are popular gifts given to local children","Um brinquedo feito de teixo liso, essas bonecas sao presentes populares dados as criancas locais"
Weaving Comb,Pente de Tecelagem
A tool commonly used in the weaving of tapestries,Uma ferramenta comumente usada na tecelagem de tapecarias
"This one appears to be made from the wood of the Yew Trees often found in the Outer Isles","Esta parece ser feita da madeira dos teixos frequentemente encontrados nas Ilhas Exteriores"
Worn Dice,Dados Desgastados
The bane of fools everywhere,A desgraca dos tolos em todos os lugares
You wonder how many fortunes have fallen prey to its faded numbers,Voce se pergunta quantas fortunas cairam vitimas de seus numeros desbotados
Writing Quill,Pluma de Escrever
A popular writing tool made from the feather of a large bird,Uma ferramenta de escrita popular feita com a pena de uma grande ave
This one appears to need sharpening,Esta parece precisar ser afiada
Yarn,Fio
"A yarn of wool spun from the shag of the sturdy breed of goats that roam the hills in the Outer Isles","Um fio de la fiado a partir do pelo da raca robusta de cabras que vagam pelas colinas nas Ilhas Exteriores"
